customer_id,signup_date,region,segment,monthly_spend,orders_last_90d,support_tickets,satisfaction_score
45,2024-05-10,West,Retail,229.67,4,4,3
46,2025-04-29,West,Retail,241.18,6,2,3
47,2025-10-08,North,Enterprise,68.24,4,2,3
48,2024-01-21,North,SMB,141.86,4,2,2
49,2024-06-15,North,Retail,127.03,3,1,3
50,2024-09-30,North,Retail,247.63,1,3,3
51,2025-01-22,West,Retail,103.11,5,3,2
52,2025-08-23,South,Enterprise,507.45,5,4,2
53,2024-11-11,North,Retail,173.29,7,0,5
54,2024-01-14,North,Retail,101.76,4,2,4
55,2024-08-29,West,Retail,135.95,3,3,1
56,2024-12-11,West,Retail,279.93,1,2,1
57,2025-07-18,East,Enterprise,173.05,5,1,3
58,2024-12-05,North,Retail,93.1,8,1,5
59,2024-04-01,East,Enterprise,88.56,3,1,3
60,2025-01-01,West,Retail,244.1,0,1,1
61,2025-03-30,West,Enterprise,,1,3,2
62,2025-03-03,South,Retail,113.19,2,0,4
63,2025-05-23,North,Retail,213.47,6,0,5
64,2024-02-04,East,SMB,183.16,3,1,2
65,2024-07-24,West,Enterprise,116.84,5,1,4
66,2024-03-21,West,Enterprise,364.4,3,2,5
67,2025-07-15,East,SMB,312.59,3,1,5
68,2025-01-22,South,Enterprise,258.41,5,0,1
69,2024-01-02,West,Retail,,2,2,2
70,2025-01-24,North,Enterprise,269.73,4,0,5
71,2025-07-19,West,Retail,160.1,3,1,5
72,2024-04-15,North,SMB,190.81,8,0,4
73,2025-04-21,East,Enterprise,308.73,3,2,1
74,2025-12-03,North,SMB,135.2,7,1,3
75,2025-02-05,East,SMB,289.77,2,1,1
76,2025-12-30,North,Retail,194.69,8,0,3
77,2025-07-09,East,Enterprise,90.72,8,1,2
78,2024-06-10,North,Retail,106.4,4,1,2
79,2024-07-20,South,Enterprise,277.9,5,1,5
80,2024-09-26,North,SMB,238.6,3,0,2
81,2024-09-27,North,Retail,205.46,6,1,5
82,2025-03-31,South,SMB,273.53,4,2,1
83,2025-04-06,West,SMB,220.69,2,2,2
84,2025-12-27,West,SMB,172.2,5,2,1
85,2024-09-08,North,SMB,235.11,5,1,1
86,2025-12-02,South,Retail,324.04,5,5,2
87,2024-10-22,North,SMB,441.8,3,1,1
88,2025-12-25,East,Enterprise,307.39,4,0,2
89,2025-12-20,East,Retail,373.49,2,2,2
90,2024-12-03,,SMB,149.65,4,0,2
91,2024-02-22,West,Retail,475.25,6,1,3
92,2024-08-04,West,Retail,152.37,4,1,1
93,2024-07-06,North,SMB,240.5,3,2,4
94,2025-01-14,North,SMB,221.01,3,0,2
95,2025-05-07,East,Retail,,4,1,1
96,2024-02-10,West,SMB,310.55,9,0,5
97,2024-06-05,North,Retail,171.9,5,1,2
98,2024-01-15,East,Retail,128.42,3,1,2
99,2024-03-05,West,Retail,231.52,7,2,4
100,2025-06-04,South,Retail,152.68,7,3,3
101,2024-12-09,East,Retail,302.47,6,2,3
102,2024-05-08,West,SMB,163.92,3,0,2
103,2025-10-09,West,SMB,189.15,3,0,1
104,2025-04-16,East,Retail,359.22,7,1,5
105,2024-03-03,South,Enterprise,153.47,5,1,5
106,2024-05-18,East,SMB,193.37,6,3,1
107,2025-05-13,West,Retail,325.15,4,2,2
108,2025-08-15,North,Enterprise,227.26,5,1,5
109,2025-01-26,North,Enterprise,119.95,1,1,3
110,2025-11-05,East,Retail,91.92,0,0,1
111,2025-02-22,West,Retail,147.48,9,0,4
112,2024-10-15,North,Enterprise,245.79,6,2,2
113,2025-01-13,West,SMB,369.98,6,0,1
114,2025-05-04,,Retail,320.02,4,2,5
115,2024-08-18,North,SMB,132.22,3,1,2
116,2024-02-10,West,Enterprise,174.66,6,1,3
117,2024-01-28,North,SMB,363.22,2,0,2
118,2024-05-14,East,SMB,77.51,2,3,2
119,2024-07-19,West,Enterprise,210.82,9,0,3
120,2024-02-02,North,Retail,131.54,5,0,3
121,2024-02-17,East,Retail,377.78,4,3,2
122,2025-05-17,North,SMB,353.55,3,2,3
123,2025-02-10,North,Enterprise,226.65,8,0,1
124,2025-07-27,South,Retail,161.96,2,1,3
125,2025-12-28,South,SMB,411.1,5,0,3
126,2024-04-08,East,SMB,140.19,4,2,2
127,2025-11-14,South,Retail,242.2,3,3,1
128,2025-12-26,East,SMB,196.79,5,0,4
129,2025-06-30,South,Enterprise,336.24,2,3,4
130,2025-09-04,North,SMB,79.46,2,0,5
131,2025-04-06,East,SMB,254.69,3,0,3
132,2025-10-04,East,Retail,283.69,8,1,3
133,2024-01-05,North,SMB,359.72,2,1,1
134,2024-08-05,East,Retail,160.23,5,0,4
135,2025-05-17,,Retail,150.34,3,0,5
136,2025-02-01,South,SMB,137.78,4,1,1
137,2025-01-27,East,Retail,144.02,4,0,3
138,2024-07-25,West,Retail,377.64,5,2,4
139,2024-01-15,North,SMB,261.62,1,1,5
140,2025-07-07,South,Retail,82.49,2,3,2
141,2025-04-05,South,Retail,233.63,2,0,4
142,2025-11-21,West,SMB,108.9,1,0,5
143,2025-07-28,North,SMB,194.71,3,2,1
144,2024-08-28,North,Retail,192.24,6,3,2
145,2025-07-17,South,Enterprise,197.28,2,1,5
146,2024-04-05,East,Retail,131.05,5,0,5
147,2025-04-29,South,SMB,231.68,6,1,3
148,2025-02-10,North,SMB,265.25,5,1,4
149,2024-08-18,West,Enterprise,99.91,7,1,3
150,2025-10-16,South,SMB,203.0,6,0,2
151,2024-06-19,North,SMB,201.45,1,1,5
152,2025-06-24,South,SMB,245.33,4,2,3
153,2024-02-05,East,Retail,199.12,4,1,4
154,2025-06-08,South,Retail,68.06,2,0,2
155,2024-06-08,South,SMB,280.64,5,3,1
156,2025-11-29,North,Retail,264.95,7,2,3
157,2024-08-30,North,SMB,154.32,5,1,2
158,2024-03-26,North,Retail,164.93,3,2,1
159,2025-07-31,South,SMB,146.14,3,0,3
160,2025-11-12,East,Retail,275.9,5,1,2
161,2025-07-10,West,Retail,174.92,4,1,2
162,2025-07-27,West,SMB,160.39,4,1,3
163,2025-10-07,North,SMB,281.17,5,2,2
164,2024-01-28,North,SMB,299.86,0,3,5
165,2025-09-11,South,Retail,86.69,2,1,3
166,2025-07-09,West,Retail,272.92,3,2,2
167,2024-12-05,North,SMB,55.43,3,0,1
168,2024-11-26,East,Retail,161.69,7,0,1
169,2025-10-01,East,SMB,183.68,5,0,5
170,2025-05-20,North,SMB,319.22,6,0,3
171,2024-12-13,North,SMB,253.68,5,0,2
172,2025-04-17,West,SMB,78.24,4,1,2
173,2024-08-18,West,Enterprise,201.83,1,0,1
174,2024-07-08,South,Enterprise,365.15,3,1,5
175,2024-08-12,West,Retail,216.19,4,0,1
176,2025-01-19,East,Retail,164.25,5,1,1
177,2025-01-11,East,Retail,318.31,5,1,5
178,2024-10-09,North,Retail,198.06,6,3,3
179,2025-09-24,West,SMB,221.47,7,2,2
180,2025-09-19,South,Enterprise,90.08,5,2,3
181,2024-09-15,East,Retail,178.56,3,0,4
182,2024-12-24,East,Retail,425.63,3,2,4
183,2025-12-10,South,Retail,211.74,4,1,4
184,2025-03-31,South,SMB,123.81,6,1,5
185,2025-02-14,East,SMB,201.15,5,1,1
186,2025-10-10,East,Retail,109.32,7,2,3
187,2024-11-13,South,Enterprise,192.18,3,0,2
188,2025-11-07,East,SMB,140.81,6,1,4
189,2024-08-12,North,Retail,119.49,1,1,3
190,2024-08-21,North,SMB,174.51,4,3,4
191,2025-11-14,South,SMB,264.27,6,0,4
192,2025-10-25,West,Retail,230.99,5,2,2
193,2025-01-08,South,Retail,50.95,3,3,5
194,2025-11-02,South,Retail,208.88,2,1,1
195,2025-08-30,West,Retail,456.47,5,0,5
196,2025-04-16,West,Enterprise,109.27,6,1,3
197,2024-08-20,West,Enterprise,231.05,2,0,5
198,2025-11-22,North,Retail,215.4,7,1,3
199,2024-04-22,East,Retail,349.86,10,2,3
200,2025-05-11,North,Retail,253.15,8,1,1
201,2025-03-17,East,Retail,229.06,5,1,2
202,2025-07-17,North,Enterprise,141.78,0,1,1
203,2024-09-24,East,Retail,226.56,2,1,5
204,2025-05-24,North,Retail,233.57,2,0,3
205,2025-01-20,West,Retail,157.22,6,3,4
206,2025-01-21,,SMB,143.24,4,0,4
207,2024-04-22,North,Retail,116.79,3,1,3
208,2025-09-04,East,SMB,93.91,3,0,1
209,2025-09-16,West,Retail,259.55,7,0,2
210,2024-03-21,North,SMB,151.56,1,2,1
211,2025-11-29,North,SMB,133.11,5,1,3
212,2024-04-22,West,Retail,67.3,1,0,3
213,2024-01-02,North,Retail,62.77,4,3,2
214,2025-10-03,South,Enterprise,,2,2,5
215,2024-08-07,North,Enterprise,145.25,7,1,5
216,2025-07-19,South,Retail,201.67,4,0,2
217,2024-08-12,South,Retail,209.26,6,0,5
218,2025-01-19,West,Enterprise,78.2,6,0,4
219,2025-02-06,North,SMB,359.31,5,1,5
220,2025-09-29,West,Retail,,5,0,5
221,2024-05-09,North,Enterprise,430.25,5,1,5
222,2024-02-22,North,Retail,204.14,7,0,4
223,2025-11-14,East,SMB,139.34,4,4,5
224,2025-12-30,North,Retail,107.12,8,1,4
225,2025-11-02,West,Retail,257.44,2,0,2
226,2025-12-10,South,Retail,174.54,7,0,1
227,2025-02-19,North,SMB,144.61,0,1,2
228,2024-09-03,East,Retail,63.74,2,1,1
229,2025-03-14,West,Retail,137.42,0,3,2
230,2024-07-21,North,Retail,196.38,4,2,1
231,2024-07-02,West,SMB,221.27,0,1,1
232,2024-05-02,East,Enterprise,81.91,4,2,3
233,2025-02-04,,Retail,69.35,5,0,1
234,2024-10-20,West,SMB,48.84,6,2,1
235,2024-10-06,North,Enterprise,146.76,9,3,3
236,2025-09-01,South,SMB,128.85,5,0,5
237,2024-07-16,East,Retail,263.52,5,2,5
238,2025-05-25,North,Retail,266.13,3,0,3
239,2024-05-23,North,Retail,133.42,1,0,4
240,2025-08-31,South,Retail,98.82,5,1,1
241,2024-07-19,East,Retail,188.82,6,1,1
242,2024-05-03,East,SMB,133.72,3,3,3
243,2024-07-05,North,Retail,102.46,5,3,3
244,2024-11-21,North,Retail,191.9,6,0,4
245,2025-04-08,South,SMB,79.2,3,0,5
246,2024-12-14,South,Retail,228.22,5,2,2
247,2025-10-21,East,Enterprise,144.48,6,1,5
248,2025-02-06,West,SMB,188.93,2,0,1
249,2024-12-11,East,Retail,44.29,3,1,3
250,2025-05-25,North,SMB,345.48,3,1,4
251,2024-05-26,East,SMB,296.83,3,1,5
252,2024-05-27,West,SMB,157.15,1,3,4
253,2025-12-11,South,Retail,150.41,4,0,5
254,2025-05-03,West,Retail,255.23,4,0,1
255,2025-10-01,West,SMB,197.25,4,0,2
256,2025-07-04,West,Retail,277.12,4,2,4
257,2024-12-03,South,Retail,79.85,6,0,4
258,2025-10-02,West,Retail,145.52,3,1,2
259,2025-04-17,West,SMB,279.31,3,2,4
260,2024-05-30,West,Retail,125.75,4,1,4
261,2025-02-18,North,Enterprise,218.72,6,3,5
262,2024-10-24,West,SMB,177.49,4,1,5
263,2025-09-02,South,Enterprise,180.79,11,1,2
264,2024-09-19,West,Enterprise,249.44,3,2,1
265,2024-05-23,West,Enterprise,199.21,6,1,4
266,2024-12-11,South,Enterprise,190.94,7,4,1
267,2025-09-15,West,Retail,167.43,2,1,2
268,2025-07-25,South,SMB,93.65,6,1,2
269,2024-01-02,West,Retail,211.76,3,0,5
270,2024-10-30,South,Retail,,2,0,4
271,2024-09-10,West,SMB,332.38,6,0,3
272,2025-10-13,West,SMB,131.85,9,2,2
273,2025-03-28,North,Retail,270.66,3,1,4
274,2024-02-06,North,SMB,351.38,4,1,1
275,2024-06-08,West,Enterprise,329.09,7,3,5
276,2024-01-09,West,SMB,139.98,6,3,1
277,2024-08-20,East,SMB,146.17,2,2,2
278,2024-04-08,South,Enterprise,273.17,7,0,2
279,2025-10-20,East,Enterprise,251.13,3,2,1
280,2024-07-26,North,SMB,221.5,3,1,2
281,2024-05-10,North,Enterprise,54.79,1,0,4
282,2025-02-07,North,Enterprise,225.19,4,0,2
283,2024-05-31,North,Enterprise,178.01,6,0,5
284,2024-02-23,West,Retail,331.77,5,1,4
285,2024-04-29,North,Retail,155.41,3,0,3
286,2025-11-03,West,Retail,229.06,6,0,2
287,2025-09-19,West,Retail,101.36,3,0,2
288,2025-08-09,North,SMB,101.31,3,0,5
289,2025-09-16,North,SMB,234.58,3,1,5
290,2025-02-23,South,Enterprise,90.59,2,2,1
291,2025-02-25,East,Retail,128.24,7,1,1
292,2024-04-13,North,Enterprise,,3,0,1
293,2024-09-10,South,SMB,149.81,7,0,5
294,2024-08-14,South,SMB,257.37,3,1,1
295,2024-04-21,East,Enterprise,98.81,5,1,1
296,2025-05-24,West,SMB,161.37,1,1,3
297,2025-04-17,North,Retail,290.12,5,1,1
298,2024-04-08,East,Enterprise,213.0,3,0,2
299,2024-06-01,North,Retail,130.38,2,0,5
300,2024-12-03,South,Retail,170.09,3,0,4
301,2025-12-06,South,Enterprise,155.74,9,2,3
302,2024-06-11,West,Retail,242.25,3,3,5
303,2025-12-20,South,SMB,234.16,3,2,5
304,2025-11-11,South,Retail,84.26,1,1,2
305,2024-06-09,East,Enterprise,163.84,3,0,1
306,2025-08-02,North,Retail,184.08,6,2,2
307,2025-02-01,North,Enterprise,209.97,2,2,1
308,2024-10-03,East,SMB,263.92,5,2,1
309,2025-05-18,West,Retail,,5,1,5
310,2025-01-26,North,SMB,187.53,3,0,1
311,2024-05-14,South,Enterprise,143.6,5,0,3
312,2024-07-13,North,Retail,108.23,5,0,3
313,2025-02-04,,Retail,71.3,3,0,3
314,2025-10-01,West,Retail,175.99,3,0,5
315,2024-02-02,East,SMB,131.28,7,1,2
316,2025-11-18,North,SMB,202.11,3,1,4
317,2025-04-04,East,SMB,208.72,3,2,1
318,2025-04-14,North,Retail,121.69,4,3,4
319,2025-01-09,South,Retail,120.45,2,2,2
320,2024-01-22,East,SMB,282.77,3,0,2
321,2025-10-31,North,Retail,182.14,2,2,5
322,2024-02-07,South,Retail,112.25,5,0,3
323,2024-08-17,East,Enterprise,180.92,4,2,3
324,2024-12-30,East,SMB,474.45,3,1,2
325,2025-07-16,North,SMB,225.49,7,2,5
326,2025-03-13,North,Enterprise,207.25,4,2,5
327,2024-10-09,North,SMB,118.67,3,0,1
328,2024-01-27,South,Enterprise,55.1,5,1,3
329,2024-08-13,North,Retail,284.14,1,0,2
330,2024-10-03,East,Retail,205.46,5,1,4
331,2025-08-31,East,Retail,234.55,7,1,3
332,2024-10-10,North,Retail,258.85,2,2,1
333,2025-04-25,North,SMB,157.24,4,1,5
334,2025-03-28,West,Retail,98.64,2,3,2
335,2025-10-20,East,Retail,244.03,3,1,3
336,2025-05-30,South,Retail,95.72,7,1,4
337,2025-06-30,West,Retail,207.64,1,1,1
338,2024-07-10,North,SMB,123.84,3,1,1
339,2024-02-18,North,Retail,276.78,2,1,3
340,2025-05-26,East,SMB,215.94,2,0,4
341,2024-01-17,North,Retail,133.7,2,3,1
342,2024-06-20,South,SMB,101.21,1,0,2
343,2024-08-07,East,Enterprise,183.25,1,2,1
344,2024-06-06,North,Retail,265.06,3,5,4
345,2025-04-21,East,SMB,270.41,7,0,5
346,2024-02-15,North,Retail,287.32,5,2,5
347,2025-01-07,North,Retail,204.95,2,1,3
348,2025-06-01,North,Enterprise,326.39,6,1,4
349,2024-04-08,South,Retail,208.84,2,0,1
350,2024-02-06,South,Retail,122.07,4,2,1
351,2024-10-06,East,SMB,137.99,2,2,5
352,2024-12-14,North,Retail,298.75,3,0,5
353,2025-05-11,North,Enterprise,121.9,2,1,2
354,2024-10-28,South,Retail,113.7,2,1,5
355,2024-06-29,North,Enterprise,346.86,7,1,2
356,2025-08-29,South,SMB,,4,1,1
357,2024-04-08,North,SMB,207.85,2,0,2
358,2025-11-30,East,Enterprise,267.63,3,1,2
359,2024-04-25,North,Retail,264.44,5,1,3
360,2024-07-09,North,Enterprise,177.65,3,1,5
361,2024-09-09,West,Retail,313.42,2,1,2
362,2024-06-09,South,Retail,357.01,4,0,1
363,2024-09-12,North,Retail,98.13,0,2,4
364,2024-11-18,North,SMB,222.82,2,1,2
365,2024-05-07,West,Retail,120.81,5,1,5
366,2024-01-18,West,Enterprise,152.96,2,2,3
367,2025-07-19,South,Enterprise,102.1,3,0,1
368,2025-07-23,West,Enterprise,388.3,3,2,3
369,2024-11-18,East,Retail,193.76,10,0,4
370,2025-11-16,West,SMB,166.35,3,1,2
371,2025-09-17,East,Retail,196.41,4,2,2
372,2024-10-14,South,Retail,161.43,8,2,5
373,2025-10-24,South,Retail,192.39,5,2,2
374,2025-09-30,South,Retail,228.82,3,1,1
375,2024-06-03,South,SMB,124.57,4,2,4
376,2025-05-04,South,SMB,238.67,5,3,3
377,2025-01-20,East,Retail,147.17,5,1,4
378,2024-04-13,East,Retail,219.64,3,2,2
379,2025-01-27,South,Retail,140.97,9,1,3
380,2024-09-02,West,Retail,261.76,3,4,5
381,2024-06-24,North,Enterprise,273.75,4,0,4
382,2024-02-08,South,Retail,181.25,5,1,3
383,2025-04-21,West,Retail,459.68,6,0,3
384,2025-11-12,North,Retail,214.17,5,0,3
385,2025-06-21,South,Enterprise,91.19,6,3,1
386,2025-02-11,South,Enterprise,255.84,4,0,4
387,2025-06-08,East,SMB,372.11,6,3,3
388,2025-05-20,North,SMB,140.66,1,0,4
389,2024-02-05,North,SMB,95.31,6,0,3
390,2025-11-15,West,Retail,253.27,4,3,5
391,2024-01-20,East,Enterprise,177.92,11,2,5
392,2024-11-16,East,SMB,195.43,8,2,5
393,2025-05-26,East,SMB,199.57,4,5,2
394,2025-02-03,East,SMB,149.35,1,1,3
395,2025-10-15,North,SMB,158.33,2,1,2
396,2025-04-15,North,SMB,160.44,4,0,4
397,2024-05-22,South,Enterprise,185.09,5,0,2
398,2024-04-01,South,Enterprise,274.21,3,0,4
399,2024-12-19,East,SMB,132.98,2,4,4
400,2025-12-27,East,SMB,305.94,4,2,4
401,2024-02-20,East,Retail,166.74,3,0,2
402,2025-10-26,South,SMB,293.25,2,2,3
403,2025-11-28,West,Retail,423.25,4,1,2
404,2025-07-28,West,SMB,172.46,3,0,3
405,2024-07-08,South,Enterprise,196.42,5,1,3
406,2024-05-04,South,SMB,109.05,5,2,4
407,2024-05-29,South,Retail,198.85,3,2,2
408,2024-11-09,South,Retail,232.03,6,4,3
409,2025-07-23,South,Retail,238.89,1,2,5
410,2024-12-07,South,SMB,123.23,6,0,3
411,2024-10-31,East,Retail,244.58,4,1,5
412,2025-11-22,East,Retail,138.95,1,0,2
413,2025-11-12,East,Retail,365.82,5,2,2
414,2024-02-23,East,SMB,220.93,3,3,2
415,2025-03-19,,SMB,189.72,1,4,3
416,2025-09-04,West,Retail,340.6,3,0,1
417,2024-09-20,North,Retail,205.39,3,1,3
418,2024-02-22,South,SMB,238.47,0,2,3
419,2025-07-25,North,SMB,151.53,1,1,4
420,2025-09-11,West,SMB,,7,1,4
421,2024-01-05,East,Retail,248.67,0,1,3
422,2024-04-12,West,SMB,366.27,3,0,5
423,2024-07-14,South,Retail,165.02,5,3,4
424,2024-12-15,East,Enterprise,161.73,1,1,3
425,2024-02-16,South,SMB,124.73,1,0,1
426,2025-10-17,,Retail,56.36,4,1,5
427,2024-09-25,North,Retail,183.53,8,1,2
428,2025-01-04,North,SMB,264.18,7,2,3
429,2025-09-27,North,Enterprise,265.66,4,1,3
430,2024-04-15,West,SMB,114.52,3,1,5
431,2025-10-31,South,SMB,229.25,5,2,4
432,2025-10-20,West,SMB,359.53,5,0,4
433,2025-10-18,North,SMB,221.45,2,1,4
434,2024-04-29,South,Retail,164.42,3,2,2
435,2025-08-26,North,Enterprise,132.69,6,4,5
436,2024-02-27,West,Retail,145.36,7,0,5
437,2024-12-11,West,Retail,311.67,4,2,4
438,2025-04-18,West,Enterprise,175.9,2,2,4
439,2024-04-26,North,Retail,120.67,7,1,1
440,2024-05-06,South,Retail,165.29,3,1,1
441,2025-01-27,South,Retail,130.46,4,1,3
442,2025-10-02,North,Enterprise,292.85,6,2,3
443,2024-02-27,South,Retail,90.98,3,1,5
444,2025-09-25,North,Retail,35.34,1,0,5
445,2025-05-27,South,Retail,,3,1,2
446,2024-04-05,East,Retail,81.43,4,1,2
447,2025-09-29,East,Retail,322.76,3,1,1
448,2024-04-27,West,Retail,504.02,3,1,3
449,2025-07-13,East,SMB,202.91,4,3,1
450,2025-08-23,East,Retail,262.7,2,0,1
451,2025-05-02,East,Retail,240.14,2,0,3
452,2024-08-24,North,Retail,217.63,3,0,2
453,2024-09-28,East,Retail,143.61,3,1,3
454,2024-07-07,East,SMB,109.37,5,0,4
455,2025-12-04,West,SMB,183.14,2,0,4
456,2025-03-22,East,Retail,121.65,4,0,4
457,2025-08-03,East,Retail,,3,0,5
458,2024-09-03,South,Retail,144.95,4,0,2
459,2024-03-16,West,Enterprise,97.74,5,1,2
460,2024-06-02,West,SMB,231.67,6,0,5
461,2025-10-17,West,SMB,167.05,1,1,1
462,2025-03-10,West,Retail,93.83,3,0,4
463,2024-03-26,West,Enterprise,296.78,1,0,4
464,2025-11-27,West,Retail,192.76,1,2,1
465,2024-10-11,North,Retail,291.96,2,0,3
466,2024-08-07,East,Retail,208.52,3,1,3
467,2024-03-09,West,Retail,149.74,5,0,2
468,2024-02-16,East,Enterprise,126.78,4,3,5
469,2024-04-03,East,SMB,244.35,1,0,2
470,2025-03-28,North,Retail,359.52,5,0,3
471,2024-07-22,West,SMB,234.65,2,1,1
472,2024-08-05,South,Enterprise,147.51,2,3,2
473,2025-04-18,North,Enterprise,213.55,7,1,4
474,2025-03-07,South,SMB,117.72,2,1,4
475,2024-12-06,East,Enterprise,233.67,4,0,1
476,2025-07-04,East,Enterprise,272.15,8,0,3
477,2025-09-03,North,SMB,155.87,2,1,4
478,2024-10-15,North,Retail,343.12,3,2,4
479,2024-09-10,South,Retail,145.56,1,1,5
480,2024-12-22,West,Enterprise,212.13,0,4,2
481,2024-01-23,South,Retail,258.89,3,0,3
482,2025-06-05,North,Enterprise,155.77,7,2,2
483,2024-04-09,South,Retail,104.55,6,0,3
484,2024-06-28,North,Retail,115.91,1,1,4
485,2024-08-10,South,Retail,161.64,6,1,5
486,2025-10-20,North,Retail,155.9,8,0,2
487,2025-03-17,North,Enterprise,185.25,3,0,4
488,2025-08-30,North,Enterprise,237.41,2,3,3
489,2024-11-20,West,Enterprise,274.03,5,0,2
490,2025-05-30,South,SMB,287.47,5,2,2
491,2024-01-16,South,Retail,426.78,3,1,4
492,2024-12-01,South,SMB,127.29,1,0,2
493,2024-09-14,North,SMB,431.96,2,0,5
494,2025-05-11,South,SMB,176.5,5,1,5
495,2024-06-08,South,Retail,168.41,6,3,4
496,2025-04-19,North,SMB,267.96,4,0,3
497,2025-10-25,East,Retail,142.86,2,0,4
498,2025-11-20,North,Enterprise,249.24,4,0,5
499,2025-11-05,South,Enterprise,352.24,8,3,1
500,2025-01-14,North,Retail,157.48,3,1,1
80,2024-09-26,North,SMB,238.6,3,0,2
12,2024-11-26,South,Enterprise,290.62,4,1,1
222,2024-02-22,North,Retail,204.14,7,0,4
411,2024-10-31,East,Retail,244.58,4,1,5
260,2024-05-30,West,Retail,125.75,4,1,4
